Province,Pcode,total,lat,lng
Hirat,21AFG032,30,34.15654,62.30203
Kabul,21AFG001,137,34.539335,69.38953
Khost,21AFG014,8164,33.369865,69.840165
Pakteka,21AFG012,12536,32.50672,68.70215
